course_code,course_name,course_description
ACCT224,Financial Reporting and Analysis,"This course provides an in-depth examination of corporate accounting issues and financial reporting standards as well as the analysis and interpretation of financial statements prepared under those standards. Particular emphasis will be given to the application and interpretation of Financial Reporting Standards (FRS) of Singapore. Topics covered include: financial reporting framework, presentation of financial statements, accounting standards and disclosure requirements, classification of income, quarterly reporting, changes in accounting policies and methods, accounting for non-current assets (including asset revaluation, assets held for sale, investment property, biological assets, and intangibles), impairment of assets, leases, provisions and contingencies, revenue recognition, and employee benefits."
ACCT331,Audit and Assurance,"The focus of this course is predominantly on the external financial statement audit, within the framework of assurance. However, auditing is multidisciplinary in nature, requiring and integrating knowledge of business, accounting, information systems, law and strategy.

Students who have yet to complete ACCT201A Corporate Reporting & Analysis of Financial Statements, ACCT203 Accounting Information Systems and ACCT206 Governance, Risk and Assurance, are strongly advised not to sign up for this course. Students without this necessary prior knowledge will be responsible for acquiring the knowledge on their own.

This course focuses on the audit of financial statements by the external auditor, and is designed to:

1. provide students with an in-depth knowledge and understanding of key auditing and assurance concepts and methodologies;

2. develop the skills and attitudes necessary for providing financial statement audits and other assurance services, including problem-solving and decision making, critical thinking, communication, teamwork, interpersonal skills and professional values and ethics;

3. develop analytical, strategic and systems thinking through the merging and melding of information from related disciplines;

4. inculcate in students an attitude of active learning at both individual and team level, through students  pre-seminar preparation, involvement in seminar discussions, seminar activities and project work; and

5. develop the mindset and values required to succeed in the profession."
ACCT332,Accounting Thought and Governance,"This course is designed to give students an overview of topics that are relevant to accounting theory development, pertinent research, standard setting and regulation processes within the accounting profession, and contemporary efforts to benefit practice. A systems approach is utilised to facilitate students  understanding of the various accounting model data sets that have been put forward by the accounting profession, including GAAP. Knowledge of this history forms an indispensable repertoire for students to evaluate current developments in accounting and to challenge new initiatives that are continuously being debated on the business environment   accounting interface. Most certainly, the ultimate goal of this course is to have students learn how to learn in the accounting arena combined with the confidence of never growing obsolete on the subject matter of accounting."
ACCT334,Intermediate Financial Accounting,"The course focuses on moderately complex recognition, measurement and disclosure standards and provides pre-requisite accounting knowledge for the advanced financial accounting course. Topics include accounting for share-based payments, deferred taxation, fair value measurement, accounting for primary financial instruments, introduction to business combinations as applied to a legal merger of businesses into the acquirer, joint arrangements, translation of foreign currency transactions and balances by a stand-alone entity and earnings per share."
ACCT335,Advanced Financial Accounting,"This course focuses on the accounting requirements of complex arrangements and transactions with the primary theme of accounting for group entities. Specific topics include accounting for business combinations involving a group structure, consolidation principles and processes, consolidation of multi-level group structures, changes in ownership interests, consolidated cash flow statements, equity accounting and translation of foreign operations. This course builds upon and also reinforces the pre-requisite knowledge covered in earlier financial accounting courses, primarily Intermediate Financial Accounting."
ACCT336,Valuation,"This course covers valuation of both financial as well as real assets, including the valuation of businesses and entities, stocks, bonds, futures, options, swaps, and real options.  An examination of certain critical steps in the valuation process such as discount rate estimation and financial statement forecasting will be discussed.  Special topics might include valuation of start-up companies, distressed firms, financial institutions, intellectual property and intangible assets.

The objective of this course is to equip students with tools and techniques to be able to undertake valuation of a broad range of assets and liabilities commonly required under International Financial Reporting Standards (IFRS)."
ACCT337,Statistical Programming,"In Data Analytics for Accountants, Richardson et al. (2021) define Data Analytics (DA) as  the process of evaluating data with the purpose of drawing conclusions to address business questions . Increasingly, accountants are expected to create value for businesses through the use of technology and DA tools are often regarded as the first step in transforming raw data into knowledge that can be acted upon by decision makers.

Given the heavy use of statistics in applying analytics to accounting data, this course aims to provide students with the foundation in statistical analysis of accounting data and information. This course will focus on the use of R Programming to develop students  statistical knowledge and provide a foundational framework in carrying out DA to solve problems within the accounting context."
ACCT401,Strategic Management Accounting,This course aims at providing students with an in-depth understanding of topical issues in Management accounting in an organisational setting. An important function of management is to motivate and empower employees while not losing track of the business. This course will examine the use of different management control systems in both the manufacturing and service industries.
ACCT403,Advanced Taxation,"The aim of this course is to help students in their practical application of taxation law and principles, which they learned in an earlier course. It also aims to increase their knowledge and understanding of the taxation issues commonly raised by businesses and individuals. On completion of this course, the students should have a better understanding of the main taxation issues related to individuals and businesses; and apply the main taxation principles to real life."
ACCT407,Corporate Financial Management,"This course aims to provide knowledge of the activities involved in the day-to-day running of a corporation s financial operations as well as advanced analytical techniques which can help create value to companies and organizations. It aims to develop students  ability to use the techniques involved in analyzing and evaluating corporate managerial problems and making sound decisions.

It is excellent for students who are less keen on auditing and would like to pursue a career in the financial area of a corporation or a career with banks and other financial institutions servicing the needs of a corporate client. It will also be a great foundation for students who want to embark on a senior general management career from a finance specialization."
ACCT409,Auditing for the Public Sector,"This course imparts knowledge of, and foundational skills in, the practice of public sector auditing. It begins with the teaching of management concepts and practices, in particular organizational processes, management control and action accountability. With this grounding provided, the course moves on to cover the auditing of the management and use of public funds by organizations and in programs for the public good. Focus will be placed on the analyzing and interpreting of audit observations, the making of audit judgments and the communication of audit findings. Case studies will be used and reading materials recommended.  The course will culminate in a project assignment for individual students."
ACCT410,Internal Audit,"Today s business environment is characterized by growing uncertainties and increasing stakeholders  demands for more effective governance in the wake of spectacular corporate failures. Internal audit is an important mechanism in providing internal assurance on the tenacity of governance and risk management practices. Its significance is re-inforced in the recommendations by the Committee to Develop the Accountancy Sector (CDAS) in 2010. The CDAS  report, titled  Transforming Singapore into a Leading Global Accountancy Hub  identified and recommended internal audit as a niche pathway toward accountancy excellence for Singapore. Internal audit is an essential pillar of a resilient organization.

This course provides participants with a sound foundation of internal concepts and practices. It provides an overview of internal audit in support on sound governance and risk management. The course content covers essential standards and guidance articulated by the Institute of Internal Auditors. These include the attributes of internal audit, planning, execution and internal audit reporting. The course also aims to enhance participants  understanding and application of assurance methodologies that are crucial in building a culture of doing the right thing."
ACCT416,Advanced Audit & Assurance,"The course expands on ACCT331 and covers advanced auditing and assurance topics. On Auditing, the scope includes Group Audit and IT Auditing. Besides Auditing, Assurance and advisory engagements are an integral part of professional services in practice. This course covers assurance in relation sustainability reports, prospective financial information and reliability of internal controls. In addition, it explore special topics such as due diligence in Merger and Acquisition, fraud investigation and internal audit."
ACCT417,Insolvency and Restructuring,"This course provides knowledge on the full spectrum of the restructuring and insolvency regimes available in Singapore and the application of these regimes in situations of various degrees of distress. Insolvency practice includes practicing as a  company doctor  overseeing formal and informal workouts for financially distressed business or practicing as a company receiver, administrator and liquidator with the objective of maximizing recovery to creditors. 

Students will learn the different types of restructuring and insolvency procedures most suited to each situation, the legal implications and effects on the business entities and various stakeholders, the roles, responsibilities and powers of insolvency practitioners under each procedure, and the practical / commercial issues to consider when business entities enter into the restructuring or insolvency mode. This course aims to equip students with the basic knowledge in detecting the early warning signs, understanding financial issues faced by business entities and financial impact of key decisions in addressing the situation. It also emphasizes the practical application of theories and concepts learnt in class to the real world

The course is not only designed to be relevant for students who are specifically seeking a career in insolvency practice but also for those who are interested in business rescue and business failure generally."
ACCT418,Data Modelling and Visualisation,"Accountants regularly work with large amounts of financial and non-financial data. Data modelling is an important means through which accountants can analyse such data for trends, patterns, relationships, and other useful information for decision making. This course will introduce a variety of quantitative techniques used in the development, implementation, and utilization of analytical data models that accountants regularly use in decision making. It will cover techniques including regression analysis, trend analysis, optimization, text analytics, and simulation.

Visualization provides an important means through which accountants can communicate insights obtained via data modelling to their intended recipients. Well-designed visualisations can improve the memory, comprehension, and decision making of intended recipients of this information. This course will introduce students to key principles and techniques for data visualization. Students will create visuals including dashboards and interactive visualisations for decision making in the accounting context."
ACCT420,Forecasting and Forensic Analytics,"This course explores how data can be used to solve problems across financial accounting, managerial accounting, and audit contexts. Students will gain exposure to techniques to explore how financial and non-financial data is used to forecast events, detect financial discrepancies and frauds, predict corporate default, optimize operations, and determine business strategy. Some programming and data visualisation skills will be required to draw insights from large volumes of data. Advanced analytics methods such as text analytics, neural networks and deep learning will also be introduced. This course has been designed to equip students with an analytics mind-set to develop analytics strategies and make better business decisions."
ACCT421,Analytics for Value Investing,"This course examines quantitative models and techniques used by securities analysts and investment managers to identify and interpret patterns in accounting data for making value-based fundamental investing decisions. The course will discuss extant research evidence on value investing strategies over the past decades. Students will then learn to develop their own statistical models and algorithms, in the context of a value-based investing framework, to predict financial performance and distress risk of firms as well as to uncover securities that can potentially generate superior investment returns. The course will involve writing programming codes to analyze large-scale archival data, draw inferences from the statistical results, and back-test the models for their predictive power. The advantages as well as pitfalls of such statistical models including issues of data selection, and behavioral and institutional biases will also be examined. The skills taught in this course would be useful for students who wish to pursue a career in securities analysis, asset management, investment analytics or financial consulting."
ACCT423,Audit Analytics,"With a rapidly changing regulatory environment, stakeholders are demanding more confidence and value from audit, particularly with the emergence of technologies such as data analytics. Data analytics is significantly changing the way auditors approach and conduct audit, where data is now brought to life to allow an in-depth risk assessment and more continuous real-time audit procedures to be performed   subjecting entire populations to audit procedures, not just samples.

This course examines the application of data analytics in audit based on an underlying risk-based methodology with real-life examples. Students will also learn about practical aspects in the audit analytics process such as extraction, transformation and loading of data as well as the actual execution of audit analytics tests and visualisation of the results in software such as Tableau.

By the end of the course, students, in their respective groups, are expected to conceptualise the application of audit analytics in real-life companies through development of prototype dashboards. Guidance from Deloitte audit partners will be provided through meetings with the students throughout the course."
ACCT424,Auditing Information Systems,"This course examines IT systems and environment used to support the business processes common across various industries. The course helps to recognize how IT affects flows of business transactions, identify relevant technology elements, and assess risks arising from IT elements. Topics in the course will include the understanding, identifying and testing relevant to GITC (General IT Controls) and evaluate deficiencies in GITCs and assess the impact of GITC deficiencies on the audit.

Moreover this course will also touch upon ways in which IT audit report documentation is done and audit observations are assessed, handled and addressed. Lastly the course will also give an overview of regulatory guidelines in place for technology risk management, outsourcing risk and business continuity management stipulated by Monetary Authority of Singapore (MAS).

The course will use class activities, case study, real world examples and group discussions to increase the practicality of the knowledge content. Course is a perfect blend for individuals who are willing to learn about the IT elements considered in audit and compliance assessments."
ACCT425,Forensic Accounting and Investigation,"This course will equip students with the fundamental knowledge on how to investigate financial fraud. Students will not only learn the difference between accounting, auditing and forensics accounting, but towards the end of the course they will be able to apply proven methodologies to conduct financial fraud investigations. The module will begin with identifying what is fraud, the types of fraud schemes, evidence collections and the use of the ever important role of computer technology for forensic investigations. It will further develop and lay the foundations for forensics analytics, planning for an investigation, conducting interviews and reporting. At the end of the course, students will be ready to take up roles in the field of forensic accounting and investigations."
ACCT426,Cyber Risk and Forensics Work-Study Elective,"This Cyber Risk and Forensic Work-Study Elective is a six-month internship attachment program at KPMG in Singapore under the SMU-KMPG Cyber Risk and Forensic Work-Study Elective Programme (WSEP). The WSEP is a collaboration between SMU and KPMG in Singapore that aims to train a next generation of cyber-criminal combatants to enter the fast-growing area of financial forensics and cyber forensics. This course offers students first hand exposure into the cyber world of forensics, cyber security and digital trust. They will be involved in teams performing

  forensic investigations in both white-collar crimes as well as computer forensic investigations;
  security reviews of systems in large organisations. These typically are extensions of a regulated entity s financial audits and statements; and
  IT audits for financial systems.

Students will alternate between working four days at KPMG in Singapore, and studying on campus for two courses concurrently, for a period of six months. Students will be assigned to a SMU Faculty Advisor and a KPMG Internship Supervisor."
ACCT427,Accounting Data and Analytics Work-Study Elective,"This Accounting Data and Analytics Work-Study Elective is a 20-week internship attachment program at a partner firm under the SMU Accounting Data and Analytics Work-Study Elective Programme. This course will engage students in active learning and applying knowledge that they have learned in the field. Students can expect to go through an immersive experience in one service area offered by a professional services firm, e.g. assurance, tax, advisory and consulting.

Students will alternate between working four days at the partner firm, and studying on campus for two courses concurrently, during the internship period. Students will be assigned to a SMU Faculty Advisor and an Internship Supervisor."
ACCT428,Digital Transformation in Accounting (Personalised Learning),"Digital technology affects almost all aspects of modern life from individuals to societies, from economies to cultures and changes the world. Rapidly changing technological, economic and thinking means digitalisation for accounting profession has become a necessity rather than a choice. Traditional accounting methods (such as paper, receipts, registration, declaration, notification, etc.) are gradually replaced by internet-based accounting systems (such as cloud-based system and blockchain technology).

The effects of artificial intelligence, blockchain technology, the Fourth Industrial Revolution and cloud system software, on the future of accountancy are being discussed regularly. Questions like, ""What new opportunities will these technologies create in accountancy?"", ""How will digitalisation and technology affect the accountancy profession and professionals?"", and ""Is the accountancy profession and professionals ready to change?"" are being discussed in the accounting industry.

In the near future, many accounting transactions will be processed by artificial intelligence and automation systems. Business owners will need to start looking for more technological talent in accountants. It is an unquestionable fact that the language of the next generation of accountancy professionals will be digitalisation and technology. Recognising digitalisation technologies and managing digital systems effectively is of critical importance for the accountancy profession s future.

This self-directed personalised learning course aims to achieve the following objectives:

  Promote student agency
  Learn  how to learn  so as to nurture students to become lifelong learners
  Active mentoring by faculty
  Understand how digital technologies may impact accounting at individual, organizational and industry levels
  Understand how digital technologies may simplify, streamline and harmonize essential accounting processes to create a leaner and more efficient finance function

In this course, the learning process involves (1) blended learning of based-line domain knowledge, (2) creating learning path: (i) participating in learning space(s), (ii) connecting in learning communitie(s) and (3) active mentoring by instructors."
ACCT429,Guided Research in Accounting,"This is an accounting elective course for SMU senior accounting undergraduate and postgraduate students. This module aims to introduce students to academic research in accounting. Each student will be exposed to seminal academic papers in respective areas and work on an independent research project under the mentoring supervision of a faculty. The supervisor will guide the student through one or more phases of research, such as problem/hypothesis formulation, literature survey, data collection and analysis."
ACCT430,Audit and Assurance Work-Study Elective,"This Audit and Assurance Work-Study Elective is a 20-week internship attachment program at Deloitte Singapore. Audit and assurance is one of the major career pathways for accounting graduates. Due to digital transformation, the audit profession has been evolving over the past few years. It is important for students to apply what they have learned in the classroom to and pick up new skillsets from the fast-changing audit practices. Students will alternate between working four days at Deloitte Singapore, and studying on campus for two courses concurrently, during the internship period. Students will be assigned to a SMU Faculty Advisor and a Deloitte Internship Supervisor."
ACCT431,Sustainability Accounting and Reporting,"What is the role of accountants in helping the world achieve sustainability goals? How can sustainability accounting help individual organizations and various stakeholders better assess environmental, social, and economic aspects of activities? This course presents a review and analysis of the theoretical foundations of sustainability accounting and its reporting issues in practice. The course will focus on existing and emerging frameworks for developing corporate environmental, social, and governance (ESG) performance metrics, assessing their reliability, reporting to stakeholders, and incentivizing managers based on ESG metrics. Specifically, we will examine both 1) the accounting for an organization s environmental, social, and economic impacts via its activities as well as 2) how an organization is dependent on and affected by the environmental, social, and economic context in which it operates. The course will focus on the real world via case studies and live examples. You will be organized into groups to research and analyze case studies and present team research projects."
ACCT432,Financial Forensics Work-Study Elective,"The Financial Forensics Work-Study Elective is an extended internship attachment programme at OCBC Bank under the SMU Financial Forensics Work-Study Elective Programme. The WSEP aims to equip students with accounting know-how and financial forensic-related knowledge in real-world situations. Accounting professionals play a key role in investigating, detecting, and preventing financial crimes and fraud. Students can expect to go through an immersive experience in one (or more) division at OCBC: Group Legal and Compliance, Group Finance, and Group Audit.

Students will alternate between working four days at OCBC Bank, and studying on campus for two courses concurrently during the internship period. Students will be assigned to a SMU Faculty Advisor and an OCBC Internship Supervisor."
ACCT604,Financial Statement Analysis,"This course will discuss key accounting concepts and techniques, which are relevant to wealth management. Corporate accounting objectives, conventions and standards, and the rules that govern disclosure are discussed. Other topics include ratio and cash flow analyses, analysis of current and fixed assets, and liabilities, including off-balance sheet activities, taxation, and the different standards of accounting practices in different parts of the world."
ACCT604A,Financial Statement Analysis,"This course equips students with an overview of accounting as the language of business as well as the ability to interpret and analyse a set of financial statements for assessing the operating performance and financial position of an entity. Topics covered include the accrual versus cash basis of accounting; recognition of assets, liabilities, revenues and expenses; measurement issues; and other contemporary accounting issues. At the end of the course, students can expect to enhance their ability to communicate with the finance team in their organisations as well as their stakeholders for effective financial decision making."
ACCT608,Financial Accounting,"This module provides students with an overview of the various elements involved in financial statements, from the point of view of the shareholder. It introduces students to the basic concepts, principles, procedures and approaches underlying the financial accounting and reporting process. It covers the measurement of assets and liabilities and the recognition of income and expenses as well as fundamental financial analysis techniques for investors."
ACCT608A,Financial Accounting,"The course  Financial Accounting  is an introduction to financial accounting from an international perspective. Financial accounting is the process by which relevant financial information concerning an economic entity is communicated to different parties such as stockholders, creditors, tax authorities, investors, etc. In particular, the objectives of this course are to provide you with an understanding of:

- Why a published set of financial statements is always a choice, made by the company and/or by the regulator, among a set of possible alternatives.

- The framework for making business decisions using Financial Statements information.

- The role of financial reporting in the development and functioning of capital markets.

- The process of accumulating, identifying, measuring and recording financial information.

- How to prepare an Income Statement, a Balance Sheet and a Statement of Cash Flows.

- The practical implications of how businesses actually function, and how these reflect on financial reporting.

- How to analyse the Income Statement, Balance Sheet and Statement of Cash Flows from the point of view of different stakeholders.

- How to evaluate the impact of differences in various financial reporting environments and their influence in the functioning of international markets.

- The ethical dilemmas in financial accounting while developing the necessary analytical skills to recognize them and deal with them."
ACCT609,Financial Reporting and Analysis,This module provides students with an overview of the various elements involved in financial statements from the point of view of the shareholder. It covers the measurement of assets and liabilities and the recognition of income and expenses as well as managerial techniques for analysing financial statements.
ACCT610,Management Accounting,"The goal of this managerial accounting course is to measure the cost of designing, developing, producing (or purchasing), selling, distributing, and servicing particular products or services.  The students must understand the behavior of the resources used in the production process and how they are classified (expenses and costs).
We will learn about cost allocation and criteria used and we will also understand the total cost of a product or service- used for various purposes, which include product costing, planning and control, and decision making.

Students, as future managers and decision makers, will understand at the end of this course how the resources must be used and allocated, and the implications of the decisions made.
It is necessary to interpret cost accounting system outputs; to transform them from data to information and knowledge. W ithout this understanding, cost accounting data is often mis-interpreted and/or mis- applied leading to erroneous decision making."
ACCT611,Financial Accounting,"This course provides students with an introductory understanding of accounting as  the language of business . It examines the basic concepts, principles, procedures and approaches underlying the accounting process. This understanding facilitates the interpretation of financial information, which is necessary for making business decisions. Topics covered include: introduction to the conceptual framework for financial reporting; journal entries, end-of-period adjustments and the preparation of financial statements; accounting for cash, receivables, inventory, property, plant and equipment, other non-current assets, bonds, liabilities, and owners  equity; cash flow statement; and introduction to financial statement analysis."
ACCT612,Corporate Reporting & Financial Analysis,"This course examines corporate reporting issues and accounting standards as well as the analysis and interpretation of financial statements and reports prepared under those standards. The objective is to attain technical and analytical proficiency in preparing and using financial reports of companies, whether as accountants, auditors, managers, financial analysts or investors."
ACCT613,Advanced Financial Accounting,"This course is designed to impart a detailed understanding of alternative accounting principles and practices, their effects on balance sheet valuation and income statements, including critical evaluation of these alternatives. Subjects covered include business combinations, accounting for inter-corporate investments, inter-company transactions, foreign currency transactions, financial instruments, deferred taxation and other current issues in accounting."
ACCT615,Taxation,"On completion of this course, students should be able to explain the operation of the Singapore tax system; prepare computations of the corporate tax liability for individual companies; prepare computations of the income tax liability for employees, sole traders and partners; explain and apply the scope and principles of Goods and Services Tax (GST); explain the use of exemptions and reliefs in deferring or minimising tax liabilities; and apply the main taxation and tax planning principles to real life scenarios."
ACCT616,Management Accounting,"This course introduces cost and management accounting topics to enable students to understand how accounting information is used to manage an organisation. The course focuses on the factors that differentiate one company from another. For example,  What makes one company more profitable and/or better managed than another?  The course will look at various functional areas within the firm, ranging from manufacturing to marketing, and from accounting to human relations. In addition, the concept of management, how senior managers plan, implement and control those plans through people will be briefly discussed."
ACCT617,Accounting Information System,"This course provides knowledge about the analysis, design and use of accounting information systems. It addresses the following key concepts: role of control in an accounting system; documentation of accounting information systems; database management, processes and modeling; internal controls; and the role of accounting information systems in major processes of the business cycle."
ACCT621,Audit and Assurance,"After each accounting and/or corporate scandal, the age old question lingers on: where were the auditors?  Another question that inevitably crosses the mind of an investor is: If a company s audited financial statements does not mean that all is hunky-dory, then why should investor funds be used to pay for an audit? These and other audit and assurance issues will be dealt with in this course. The primary objectives of the course are to enable students to:

  Develop an informed appreciation of the role of auditing in today s business environment,

  Build a good foundation in audit and assurance knowledge, skills and mindset to enable further self- and continuous learning, and

  Practise design of basic audit procedures in areas typically encountered by the entry level auditor."
