,job_title,company_name,job_desc,job_type,cluster_assigned,dominant_topic,topic_keywords,topic_distribution
90,"Data and Insights Analyst, SMB",TikTok · Singapore Reposted  2 weeks ago  · 442 applicants,"About the job
The Cross Border team at Shopee empowers sellers from all over the world to sell into the Southeast Asia and Taiwan region. The team helps sellers to market their products across the 7 markets and provide enabling services such as cross border logistics, operations, payments, product related services, overseas warehouse fulfillment and business intelligence. Browse our Cross Border eCommerce team openings to see how you can make an impact with us.

About the Team:
The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business intelligence specialists and data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle.

Job Description:
Conduct thorough analysis to identify trends, patterns, and opportunities for Shopee cross border business organisation
Collaborate with stakeholder teams to define key performance indicators (KPIs) and develop metrics that align with business objectives
Lead cross-functional teams' data analytics projects
Create, monitor and optimise reporting flow using BI tools from back-end to front-end
Maintain data integrity and streamline data processes
Gather business requirements to develop small to medium size tools or simulation models in helping business to achieve quick and important goals

Requirements:
Bachelor’s/Master Degree, preferably in data analytics, statistics, mathematics or any other quantitative discipline
2-5 years of experience in business intelligence, data analytics or any other related fields
Proven technical skills: SQL, Spark, Hadoop, python, VBA, Excel, Google Sheets, PowerBI, Tableau etc.
Experience in data analysis preferred
Able to pay attention to detail and rely on data
Able to story tell and transform numbers into key insights that drives business decisions
Able to communicate in a clear and succinct manner to stakeholders
Able to identify root causes and solve challenges
Growth and Optimisation mindsets",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.4704759), ('Algorithms and Numerical Methods', 0.27136973), ('Machine Learning', 0.21953604), ('Math and Statistics', 0.03861833)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.4704759), ('Algorithms and Numerical Methods', 0.27136973), ('Machine Learning', 0.21953604), ('Math and Statistics', 0.03861833)]"
91,"Business Intelligence Analyst - Business Intelligence, Cross Border","Shopee · Singapore, Singapore  3 days ago  · 87 applicants","About the job
This job is sourced from a job board. Learn More
Key Responsibilities

 Collect, clean, and validate data from various sources to ensure accuracy and completeness
 Analyze and interpret data using statistical and data visualization tools to identify trends, patterns, and insights
 Develop and maintain dashboards, reports, and visualizations to communicate findings to stakeholders
 Collaborate with business partners to understand their data needs and provide recommendations and solutions
 Conduct ad-hoc analysis and research to support business initiatives
 Continuously monitor and review data quality to ensure accurate and consistent results

Requirements

 Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field
 At least 4 years of experience in a data analyst role, with a strong focus on data analysis, interpretation, and visualization
 Proficiency in SQL and experience with statistical analysis and data visualization tools such as Python, R, Tableau, or Power BI
 Strong analytical, critical thinking, and problem-solving skills
 Excellent communication and interpersonal skills, with the ability to work collaboratively with cross-functional teams
 Proven track record of delivering high-quality results in a fast-paced environment

Please note: Only shortlisted candidates will be contacted

EA Registration No. R1871815 (Saravanan)

EA License No. 01C4394

**By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its local and overseas subsidiaries and affiliates collecting, using and disclosing your personal data to prospective employers/companies based in any country for purposes of evaluating suitability for employment, conducting reference checks, administering employment related services, complying with Government’s COVID-19 health advisories and such other purposes stated in our privacy policy. Our full privacy policy is available at www.persolkelly.com.sg. If you wish to withdraw your consent, please drop us an email to let us know. Please feel free to contact us if you have any queries.**
Desired Skills and Experience
Tableau, Data Analysis, Interpersonal Skills, Critical Thinking, Mathematics, Data Quality, SQL, Python, Statistics, Visualization, Power BI, Data Visualization",Business Analyst,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.2898727), ('Algorithms and Numerical Methods', 0.46827033), ('Machine Learning', 0.21701165), ('Math and Statistics', 0.024845356)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.2898727), ('Algorithms and Numerical Methods', 0.46827033), ('Machine Learning', 0.21701165), ('Math and Statistics', 0.024845356)]"
92,Data Analyst (12 months contract),"PERSOLKELLY SINGAPORE PTE. LTD. · Singapore, Singapore  1 week ago  · 20 applicants","About the job
SHIELD is the world’s leading risk intelligence company, empowering online businesses to stop fraud, build trust, and drive growth. Powered by the latest AI technology, SHIELD combines cutting-edge device fingerprinting with its proprietary Global Intelligence Network to detect new and unknown fraud threats in real time. SHIELD offers a range of solutions that span device fingerprinting, enterprise-grade protection, ad fraud prevention, and alternative credit risk intelligence. With teams and offices in San Francisco, London, Berlin, São Paulo, Jakarta, Bengaluru, Beijing, Singapore, and more, we are rapidly achieving our mission to enable trust for the world.

Responsibilities

As a Data Analyst (Risk), you will be involved in supporting the risk operations by conducting data analysis of risk cases to discover risk trends and behavior patterns from big data sets, thereafter being involved in designing long-term solutions to fight fraud. The insights you provide will be optimizing risk strategies to create business value and enable trust for our clients.

Analysis of rich user and transaction data to uncover device, user, transaction, etc. trends that help alert SHIELD's risk systems and contribute to fraud prevention mechanisms
Optimize fraud detection by rapidly identifying emerging fraud trends through data-driven analysis and developing strategic fraud rules to address them
Perform data/statistical analysis to keep processes at the forefront of fraud detection by identifying areas of potential fraud risk and/or potential opportunities to improve current fraud mechanisms
Develop and communicate insights and recommended actions to stakeholders to manage risk by contributing toward machine learning models, and risk management principles to help clients trust their users by staying ahead of new and unknown fraud
Build and maintain dashboards for all stakeholders to provide visibility of key metrics, fraud patterns, and detection efficiency

Requirements

 3-5 years of experience as a hands-on analyst in a high-tech company
Minimum Bachelor Degree in Computer Science, Data Sciences, Statistics, Math, or other related fields
 Strong experience in handling large-scale unstructured data
Experience in SQL or other data handling tools, as well as the ability to learn more advanced data
 Business intelligence experience using tools such as Tableau, Qlik Sense, and Excel
 Working experience with any of the data analysis tools such as R, Python, SPSS, SAS, etc
 Experience with the application of experimentation and statistical techniques (i.e. hypothesis testing, probability distributions, regression, decision trees, etc.)
 Ability to take initiative in a fast-moving and dynamic environment, and take timely actions to prevent risk of fraud",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.46764535), ('Algorithms and Numerical Methods', 0.24965008), ('Machine Learning', 0.24511547), ('Math and Statistics', 0.0375891)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.46764535), ('Algorithms and Numerical Methods', 0.24965008), ('Machine Learning', 0.24511547), ('Math and Statistics', 0.0375891)]"
93,Data Analyst (Risk),SHIELD · Singapore  4 months ago  · 528 applicants,"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

THIS ROLE IS BASED IN BANGKOK, THAILAND (WITH RELOCATION PROVIDED)

Get to Know our Team: 

In Product, ideas come alive. The world is moving fast so our culture empowers ownership and minimal bureaucracy. That’s the environment that enables you to do what you think is right – and quickly. Product Operations is a large, multicultural team of diversely talented individuals that serve as the curators of Agoda’s content. We manage all the content our customers and partners see on each of our products. As a part of our team, you will take ownership of processes that are critical to multiple other teams across the business. We are driving property-level content to map inventories from 3 rd  party supplies which will enable our reach to span the globe. Content Operations is also keen on self-improvement and innovation. We run our own structured data and analyze it to make impactful decisions. With the support of state-of-the-art technology and an enriching work environment, we strengthen the bottom line and drive new business for Agoda. 

The Opportunity: 

As an Analyst/Senior Analyst, you will report directly to either the Senior Manager or Associate Director within the Product Department and this will be an individual contributor role. You will be responsible and fully empowered to work with the partners on the ground. You will be supported by a team within the Product department and work closely with other Team members within Agoda. You will be instrumental in ensuring there is consistency in data being used for reporting, identifying value-added data to help the business grow as well as using data to make strategic business decisions. You will be expected to dig into data to provide business insights, guide decision-making and offer valuable inputs to further grow our business model.

In this Role, you’ll get to:

Translate internal briefs into analytical projects (to include refining the initial brief and asking the ‘right questions’, working through potential hypotheses and storyboarding the output)
Use and analyze data from multiple large-scale data warehouses and present statistically strong analysis to a wide range of business stakeholders
Conducted an analysis of customer behavior and their path through the platform, guaranteeing that the conversion rates for each front-end page met the established benchmarks and continually pinpointed opportunities for enhancement
Partnered with the Product Design and User Research team to generate fresh data-driven projects, one of which involved the development of a Dashboard designed for more efficient monitoring of user behavior and the measurement of novel business metrics
Drive new analytical initiatives and projects aimed at improving organizational efficiency and shaping Agoda supply
Identify, support, and lead projects aimed at scaling up the way the Supply organization leverages on data, insights, and intelligence
Automate manual operational processes and present back on time savings gained through modernization of business operations

What you’ll Need to Succeed:

Bachelor’s degree or higher in Mathematics, Business, Economics, Data Science, Information Technology or similar field
Bachelor’s Degree or higher in computer sciences, engineering, mathematics, statistics, data science or a related degree program. Masters degree preferred
Advanced domain of data analysis and data visualization tools and software such as Excel, SQL, Tableau, Python or similar
Analytical mindset, with proven track record in using data to measure performance and make decisions
Excellent problem-solving skills including the ability to analyze and resolve complex problems using data
Ability to work under pressure in a fast-paced and rapidly changing environment
Excellent communication skills (both verbal and written), with proven ability to convey complex messages clearly and with conviction
Team player with strong interpersonal, relationship-building, and stakeholder management skills

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #baku #minsk #brussels #antwerp #ghent #charleroi #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis #product

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.42740262), ('Algorithms and Numerical Methods', 0.22300026), ('Machine Learning', 0.30296177), ('Math and Statistics', 0.04663534)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.42740262), ('Algorithms and Numerical Methods', 0.22300026), ('Machine Learning', 0.30296177), ('Math and Statistics', 0.04663534)]"
94,"Senior Data Analyst (Product Team, Bangkok-based, Relocation provided)","Agoda · Singapore, Singapore  3 days ago  · 7 applicants","About the job
200 years ago, Bolloré Group was born. Today, one of Bolloré Group's fastest growing business sectors, Bolloré Logistics, have grown to become the world's top 10 players in freight forwarding and logistics with a powerful network spread across 106 countries, 607 sites with over 20,000 employees. We pride ourselves having developed specific expertise in providing end-to-end supply chain solutions tailored to our customers' growth and constantly driving innovation to adapt and better cater to their evolving needs. We place our customers at the heart of all our processes, delivering customized solutions while ensuring ethical and responsible business practices.

Here at Bollore Logistics, our people's actions are guided by our core values - Humility, Excellence, Courage, Agility & Innovation and Solidarity. We believe it's the people who brought us to where we are right now, and it'll be the people who propel us to greater heights. We invite you to join our diverse team on our journey to becoming Global Top 5 in the coming years.

About The Role

Reporting to Vice-President - Air, this internship role will have the opportunity to work with the different entities on exciting projects as well as to analyse various reports to provide information to our Regional Air Freight team for strategic business decisions. This 6-month full-time internship commences January 2024.

What You Will Be Doing

Prepare monthly reports relating to air freight activities
Detect irregular data from the reports and analyse the root cause
Perform ad-hoc analysis as per requested by stakeholders
Follow up with entities on the issues and/or comments of working reports
Be involved in Middle Office Air Dashboard Enhancement Project
Work with OMC on various projects on data management
Maintain the BSA contract library
Support RFQ activity to carriers for 2024 capacity

Requirements

The successful applicant

Essential

Undergraduate or graduate in Business Management, Data Analytics, Data Science or related fields
Meticulous, analytical, and can work independently
Good interpersonal and communication skills
Proficiency in MS Office (Excel, PowerPoint, Word)
Good command of written and spoken English
Knowledge in PowerBI and/or Tableau

Desirable

Keen to learn, fast learner
Systematic, organized and able to multi-task
Able to work under pressure in a dynamic, fast-paced environment to meet tight deadlines
Team player with positive attitude",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.5067579), ('Algorithms and Numerical Methods', 0.13222979), ('Machine Learning', 0.34050816), ('Math and Statistics', 0.020504154)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.5067579), ('Algorithms and Numerical Methods', 0.13222979), ('Machine Learning', 0.34050816), ('Math and Statistics', 0.020504154)]"
95,Air Solutions Data Analyst Intern,"Bolloré Logistics · Singapore, Singapore  3 weeks ago  · 24 applicants","About the job
Responsibilities

Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.

Why Join Us

Creation is the core of ByteDance's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible.

Together, we inspire creativity and enrich life - a mission we aim towards achieving every day.

To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At ByteDance, we create together and grow together. That's how we drive impact - for ourselves, our company, and the users we serve.

Join us.

About The Team

BytePlus is a business unit in ByteDance and provides intelligent platform services powered by industry-leading research in emerging technologies. From data analytics tools to computer vision software, BytePlus solutions enable businesses to reach their potential. To help businesses access BytePlus technologies, the Platform team delivers a reliable and easy-to-use platform that businesses can use to discover, learn more about, purchase, and use BytePlus solutions. Our platform makes it radically safe and effortless for technology professionals to consume solutions like BytePlus Recommendation, BytePlus Effects, and BytePlus Data Intelligence to grow their businesses.

As a Data Analyst for BytePlus Recommend, you will work closely with Algorithm Engineer, Product Management, and Engineering teams to deliver actionable insights and data-driven decisions for our business. Your role will be pivotal in shaping our recommendation product by identifying risks and optimizing performance.

Responsibilities

 Conduct tailored data analyses to understand the specific needs and KPIs of our B2B clients.
 Propose innovative solutions by exploratory data analysis from complex and high-dimensional datasets, applying statistical and modeling techniques to improve recommendation accuracy and effectiveness, as well as client ROI
 Design, execute, and evaluate A/B tests focused on assessing the effectiveness of strategies or refinements in our recommendation algorithms. Troubleshoot any irregularities in key metrics and provide data-backed optimization strategies.
 Develop and maintain specialized dashboards that monitor key performance indicators specific to recommendation services. Translate complex data into actionable insights and communicate these clearly to both technical and non-technical stakeholders.
 Work in alignment with cross-disciplinary teams, such as engineering and product, to ensure that data strategies support broader business goals, including client acquisition and retention.
 Establish standardized protocols for all manually generated project outputs. Streamline document formats, key stages, and external reporting to enhance efficiency and consistency across teams.


Qualifications

 Bachelor's degree or higher in a related field such as Statistics, Mathematics, or Business Analytics.
 At least 1 year of experience in data analytics or a similar field.
 Proficiency in data analysis tools such as SQL and Python.
 Familiarity with data visualization tools like Tableau or Power BI.
 Demonstrated ability to juggle multiple projects in a fast-paced setting with strong attention to detail and accuracy.
 Strong analytical thinking, centered around problem-solving and data-driven decision-making.
 Exceptional communication skills, being able to articulate finding in a systematic way with an emphasis on simplifying complex data for stakeholders across businesses and levels.


Preferred Qualifications

 Experience with machine learning technologies is a plus.


ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.42142022), ('Algorithms and Numerical Methods', 0.20231506), ('Machine Learning', 0.33513483), ('Math and Statistics', 0.04112986)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.42142022), ('Algorithms and Numerical Methods', 0.20231506), ('Machine Learning', 0.33513483), ('Math and Statistics', 0.04112986)]"
96,"Data Analyst, BytePlus Recommend",ByteDance · Singapore  2 weeks ago  · 98 applicants,"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team: 

Strategy & Analytics is a fast growing and dynamic team within Strategic Partnerships department of Agoda. Strategic Partnerships is a team of creative entrepreneurs that develop solutions for Agoda’s non-accommodation partners and promote Agoda’s top and bottom-line growth. We design tailored business and product solutions with our partners and help them generate measurable value. Members of our team are empowered and supported to grow their market(s) or accounts. The Strategy & Analytics team’s scope includes profitability optimization, target setting, KPI management, data analytics and business strategy.

The Opportunity 

We are looking for Senior Data Analyst / Associate Data Manager. In this role, you will work with Business, IT, Product and BI teams to build and manage data infrastructure, ETL processes and data tools to track and optimize performance. You will create, maintain, and automate data warehouses, workflows, tables, and dashboards for the Strategic Partnerships team.

In This Role, You’ll Get To 

Design and develop large and complex data warehouse architectures including sourcing of new data sources, developing ETL solutions and driving automation of data solutions
Oversee end-to-end ownership of data projects and independently collaborate with engineering, product, and business stakeholders in an agile environment to solve business problems
Optimize data management, improve data quality and governance, and implement best practices across Strategic Partnerships’ data landscape

What You’ll Need To Succeed

4+ years of experience with BI & analytics tools (SQL, Tableau, Metabase, Hadoop and GitLab)
Project management experience working independently or as part of a cross-functional team of technical (developers, BI) and business stakeholders
A strong technical background like technical expertise in ETL tools, data warehouse design, data modeling, database administration, programming languages, web development or power platform
Experience building and optimizing ‘big data’ data pipelines, architectures, & data sets
Knowledge of big data tools, such as Spark, Kafka
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with non-relational databases
Excellent analytical and problem-solving skills to ask critical questions that impact the design of our data solutions
Ability to communicate technical topics in an intuitive way to business stakeholders

It’s Great If You Have

A global perspective and experience working with diverse cultures
Knowledge / working experience with Data visualization tools like Tableau and programming languages like Python

#shanghai #beijing #shenzhen #hongkong #jakarta #bali #bandung #kualalumpur #manila #singapore #capetown #johannesburg #taipei #tainan #taichung #kaohsiung #bangkok #hcmc #hanoi #ANLS #3 #4

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.38948765), ('Algorithms and Numerical Methods', 0.2851883), ('Machine Learning', 0.32453805), ('Math and Statistics', 0.0007860247)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.38948765), ('Algorithms and Numerical Methods', 0.2851883), ('Machine Learning', 0.32453805), ('Math and Statistics', 0.0007860247)]"
97,"Senior Data Analyst / Associate Data Manager, Strategic Partnerships ��� Bangkok based","Agoda · Singapore, Singapore  2 weeks ago  · 17 applicants","About the job
What the role is
As a Statistician, you will be responsible for the data gathering and compilation of statistics in one or more specific fields, conduct statistical research and analysis, and develop new systems and indicators to support users' statistical requirements.

What you will be working on
You will also be involved in managing, analysing and making sense of large amounts of data from various sources, to optimise statistical processes and derive more insights from the data to support policy-making.

What we are looking for
Possess knowledge or experience in Economics, Mathematics, Statistics, Data Analytics, Computer Science, Information Systems, Data Science, Accountancy, Actuarial Science and/or subjects with substantial quantitative content (e.g., regression, analytics, modelling, forecasting)
Strong analytical and quantitative skills with the ability to learn and apply relevant statistical and analytical tools and techniques for data compilation and analysis
Good communication and presentation skills
Able to work well both independently and as a member of a team

Development Opportunities and Benefits
DOS believes in the career development and training of our staff to bring out their best potential at work
You will be equipped with skills and subject matter know-how via in-house and external learning and development opportunities. You will also be exposed to different statistical work via our structured job rotation programme.
DOS offers attractive and market competitive benefits which include mid-year & year-end variable payments and market adjustment component.
To support your personal needs, DOS also provides for flexible working arrangements including hybrid work and staggered working hours.",Data Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.4466624), ('Algorithms and Numerical Methods', 0.30302918), ('Machine Learning', 0.20866686), ('Math and Statistics', 0.041641545)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.4466624), ('Algorithms and Numerical Methods', 0.30302918), ('Machine Learning', 0.20866686), ('Math and Statistics', 0.041641545)]"
98,Statistician,"Singapore Department of Statistics (DOS) · Singapore, Singapore  3 weeks ago  · 449 applicants","About the job
*Exciting high-value projects

*Great opportunity for career growth
*Excellent salary package and benefits

about the company

My client is a market leader within their industry with a strong presence across the ASEAN region with its HQ here in Singapore. They have been in existence for over 20 years and is trending in the direction of Data Analytics. With major investments in Technology, they are hiring a newly created permanent role of a Business Intelligence Consultant (Qlikview/Qliksense).

about the job

As part of an expanding team, your role involves:
Assisting in the designing, implementation and optimization of Business Analytics and Qlikview/Qliksense solutions.
Engaging with business stakeholders, gathering data requirements and department owners to derive data analytics, and to maximize the value of data/information.
Recommending dashboards as per Qlikview/Qliksense visualization features and deploying dashboard/reports to server environment.
Participating in solution implementations, upgrades, enhancements and conversions.
Collecting and validating data from a multiple data sources and ensures readiness for analysis.
Defining best practices and identifying, designing and implementing internal process improvements during integration of Qlikview/Qliksense platform. This includes understanding key business process to define KPI (key performance indicator) and automating reports and dashboards.
skills and experience required

As a successful candidate, you will need:
At least 2 years of experience in Business Intelligence (Qlikview or Qliksense)
Experience in Business analyst/gathering requirements and translating to functional specification will be highly advantageous
Experience with presales will be highly advantageous
This is an excellent opportunity to be part of an organization that is moving to Data Analytics. You will get to be part of a stable team with low attrition rate.

To apply online please use the 'apply' function, alternatively you may contact Josh LIM at https://www.linkedin.com/in/joshlimzishuo (EA: 94C3609 / R1766249)",Data Scientist,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.49154833), ('Algorithms and Numerical Methods', 0.21866882), ('Machine Learning', 0.23105872), ('Math and Statistics', 0.058724187)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.49154833), ('Algorithms and Numerical Methods', 0.21866882), ('Machine Learning', 0.23105872), ('Math and Statistics', 0.058724187)]"
99,Business Intelligence Consultant (Qlikview/Qliksense),"Randstad Singapore · Singapore, Singapore  1 week ago  · 41 applicants","About the job
This job is sourced from a job board. Learn More
Job Description

Develop and implement proprietary financial risk and pricing models (using Python and SQL) to identify, analyze and quantify risk exposure.
Perform data extraction and maintain risk data to support analytics and new product launch.
Create and maintain risk methodology and technical documentation.
Assist in supporting ongoing risk infrastructure in cloud (AWS) to facilitate the development of near real-time visualization tools.
Maintain code repository (in Git) and databases.
Work closely with Technology team to deploy financial models and risk reporting tools in the cloud
Support Risk Control process as and when needed and assist in performing UAT for the vendor provided solution.

Requirements

Diploma or Degree in quantitative subjects (finance, mathematics, computer science, data analytics) with strong analytical and research skills.
Relevant experience in quantitative software development preferred.
Hands-on experience of development using Python and SQL.
Working knowledge of cloud is preferred.
Fresh graduates are welcome to apply.

Desired Skills and Experience
Technical Documentation, UAT, Risk Control, Risk Modeling, Application Development, SQL, Research Skills, Python, Visualization, Financial Risk, Data Analytics, Pricing, Databases, Software Development, Product Launch",Business Analyst,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.48236445), ('Algorithms and Numerical Methods', 0.29834682), ('Machine Learning', 0.2025269), ('Math and Statistics', 0.01676186)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.48236445), ('Algorithms and Numerical Methods', 0.29834682), ('Machine Learning', 0.2025269), ('Math and Statistics', 0.01676186)]"
