,School,Major,Course_Code,Course_Name,Course_Description,Prereq,Category,cluster_assigned,dominant_topic,topic_keywords,topic_distribution
10,NUS,Data Science and Analytics,CS3244,Machine Learning,"This course introduces basic concepts and algorithms in machine learning and neural networks. The main reason for studying computational learning is to make better use of powerful computers to learn knowledge (or regularities) from the raw data. The ultimate objective is to build self-learning systems to relieve human from some of already-too-many programming tasks. At the end of the course, students are expected to be familiar with the theories and paradigms of computational learning, and capable of implementing basic learning systems.","{'and': [{'or': ['CS2040:D', 'CS2040C:D', 'CS2040S:D', 'YSC2229:D']}, {'or': ['EE2012A:D', 'EE2012:D', 'YSC2243:D', 'ST2131:D', 'ST2334:D', 'MA2116:D', 'MA2216:D']}, {'or': [{'nOf': [2, ['MA1511:D', 'MA1512:D']]}, {'and': [{'or': ['MA2001:D', 'MA1522:D', 'MA1508E:D', 'MA1311:D', 'MA1513:D', 'MA1101R:D']}, {'or': ['MA2002:D', 'MA1521:D', 'MA1505:D', 'MA1507:D', 'MA1102R:D']}]}]}]}",Core,"('Machine Learning', 'learn, will, course, this, with, students, that, machine, from, such', [('Project Management', 0.0048187356), ('Algorithms and Numerical Methods', 0.4327872), ('Machine Learning', 0.55756617), ('Math and Statistics', 0.0048279082)])",Machine Learning,"learn, will, course, this, with, students, that, machine, from, such","[('Project Management', 0.0048187356), ('Algorithms and Numerical Methods', 0.4327872), ('Machine Learning', 0.55756617), ('Math and Statistics', 0.0048279082)]"
11,NUS,Data Science and Analytics,DSA3101,Data Science in Practice,"This course is designed to be a continuation of DSA1101 Introduction to Data Science. It focuses on data science methodology and the ability to apply such methodology to practical applications. Real-world problems will be provided by both industrial and academic partners in domains such as transportation, consulting, finance, pharmaceutics, life sciences and physics.","{'and': ['DSA2101:D', 'ST2132:D']}",Core,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0073183165), ('Algorithms and Numerical Methods', 0.9133992), ('Machine Learning', 0.007191163), ('Math and Statistics', 0.07209134)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0073183165), ('Algorithms and Numerical Methods', 0.9133992), ('Machine Learning', 0.007191163), ('Math and Statistics', 0.07209134)]"
12,NUS,Data Science and Analytics,DSA3102,Essential Data Analytics Tools: Convex Optimisation,Convex optimisation is an indispensable technique in dealing with high-dimensional structured problems in data science. The course covers modelling examples; basic concepts for convex functions and sub-gradients; gradient and sub-gradient methods; accelerated proximal gradient methods; stochastic block coordinate descent methods; Lagrangian duals; splitting algorithms and implementations.,"{'and': ['CS1010%:D', {'or': ['MA1101R:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D', 'MA2001:D']}, {'or': ['MA1505:D', 'MA1511:D', 'MA2104:D', 'MA2311:D']}]}",Core,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0064919707), ('Algorithms and Numerical Methods', 0.9800579), ('Machine Learning', 0.0065108635), ('Math and Statistics', 0.0069392207)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0064919707), ('Algorithms and Numerical Methods', 0.9800579), ('Machine Learning', 0.0065108635), ('Math and Statistics', 0.0069392207)]"
13,NUS,Data Science and Analytics,ST3131,Regression Analysis,"This course focuses on data analysis using multiple regression models. Topics include simple linear regression, multiple regression, model building and regression diagnostics. One and two factor analysis of variance, analysis of covariance, linear model as special case of generalized linear model. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}",Core,"('Math and Statistics', 'model, course, this, students, calculus, topics, probability, include, applications, theorem', [('Project Management', 0.0060732467), ('Algorithms and Numerical Methods', 0.0063455286), ('Machine Learning', 0.006092776), ('Math and Statistics', 0.98148847)])",Math and Statistics,"model, course, this, students, calculus, topics, probability, include, applications, theorem","[('Project Management', 0.0060732467), ('Algorithms and Numerical Methods', 0.0063455286), ('Machine Learning', 0.006092776), ('Math and Statistics', 0.98148847)]"
14,NUS,Data Science and Analytics,DSA4288,Honours Project in Data Science and Analytics,"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['ST2131:D', 'MA2116:D', 'MA2216:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}",Core,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.005151811), ('Algorithms and Numerical Methods', 0.9846264), ('Machine Learning', 0.0051066605), ('Math and Statistics', 0.005115153)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.005151811), ('Algorithms and Numerical Methods', 0.9846264), ('Machine Learning', 0.0051066605), ('Math and Statistics', 0.005115153)]"
15,NUS,Data Science and Analytics,DSE4211,Digital Currencies,"This course introduces digital currencies, one of the most demanded digital technologies. We present practically relevant methods and technologies from data science, mathematical finance, neuroeconomics and time series and network analysis, and elaborate with examples in cryptocurrencies market analysis, crypto-assets and derivatives, stable coins and blockchain-based solutions for the digital economy (e.g., P2P lending). The use of GitHub and network techniques will be taught. Empirical research and code implementations will be demonstrated. Guest lecturers with rich working and research experience in the area will be invited to share their expertise in the course.","{'or': ['QF2104:D', 'DSA2102:D']}",Core,"('Machine Learning', 'learn, will, course, this, with, students, that, machine, from, such', [('Project Management', 0.0039865524), ('Algorithms and Numerical Methods', 0.3812089), ('Machine Learning', 0.61084473), ('Math and Statistics', 0.0039598774)])",Machine Learning,"learn, will, course, this, with, students, that, machine, from, such","[('Project Management', 0.0039865524), ('Algorithms and Numerical Methods', 0.3812089), ('Machine Learning', 0.61084473), ('Math and Statistics', 0.0039598774)]"
16,NUS,Data Science and Analytics,DSE4212,Data Science in FinTech,"This course introduces several state-of-the-art data science methods and approaches in statistical modeling, machine learning and deep learning with data-driven applications in finance and FinTech such as derivative pricing, portfolio optimisation, robo-advising and risk management. Real-data analysis and code implementations will be demonstrated. Guest lecturers with rich working and research experience from academia and industry will be invited to share their latest research findings or their experience in and outlooks on data science techniques and implementations in the modern financial industry.","{'nOf': [11, ['QF2104:D', 'DSA2102:D']]}",Core,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.10839053), ('Algorithms and Numerical Methods', 0.8836023), ('Machine Learning', 0.004014651), ('Math and Statistics', 0.003992528)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.10839053), ('Algorithms and Numerical Methods', 0.8836023), ('Machine Learning', 0.004014651), ('Math and Statistics', 0.003992528)]"
17,NUS,Data Science and Analytics,DSA4288M,Honours Project in DSA (Operations Research),"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['MA2216:D', 'ST2131:D', 'MA2116:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}",Elective,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0051515982), ('Algorithms and Numerical Methods', 0.9846267), ('Machine Learning', 0.0051066354), ('Math and Statistics', 0.0051150555)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0051515982), ('Algorithms and Numerical Methods', 0.9846267), ('Machine Learning', 0.0051066354), ('Math and Statistics', 0.0051150555)]"
18,NUS,Data Science and Analytics,DSA4288S,Honours Project in DSA (Statistical Methodology),"This course allows students to develop skills for independent research in data science and related fields and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['DSA1101:D', 'CS2040:D', 'DSA2101:D', 'DSA2102:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'or': ['MA2216:D', 'ST2131:D', 'MA2116:D']}, 'ST2132:D', 'CS3244:D', 'DSA3101:D', 'DSA3102:D', 'ST3131:D']}",Elective,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.005151551), ('Algorithms and Numerical Methods', 0.9846264), ('Machine Learning', 0.005106609), ('Math and Statistics', 0.005115394)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.005151551), ('Algorithms and Numerical Methods', 0.9846264), ('Machine Learning', 0.005106609), ('Math and Statistics', 0.005115394)]"
19,NUS,Data Science and Analytics,DSA3288,Advanced UROPS in Data Science and Analytics I,"DSA3288 is part of the Undergraduate Research Opportunities Programme in Science (UROPS); DSA students may use this course to fulfill their graduation requirement. The aim of the course to provide opportunities for students to apply their learned theoretical knowledge and skills in data science and analytics to scientific and applied research topics. In this course, each student will independently work on a research project under the supervision of a faculty member. If needed, students taking DSA3288 can subsequently take DSA3289 such that they can work on a two-semester long project under the supervision of the same faculty member.",,Elective,"('Project Management', 'will, with, business, this, course, students, market, financial, risk, analytics', [('Project Management', 0.7164254), ('Algorithms and Numerical Methods', 0.27519956), ('Machine Learning', 0.0042145154), ('Math and Statistics', 0.004160459)])",Project Management,"will, with, business, this, course, students, market, financial, risk, analytics","[('Project Management', 0.7164254), ('Algorithms and Numerical Methods', 0.27519956), ('Machine Learning', 0.0042145154), ('Math and Statistics', 0.004160459)]"
20,NUS,Data Science and Analytics,CS1010S,Programming Methodology,"This course introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing and is equivalent to CS1010 and CS1010E Programming Methodology. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This course is appropriate for FoS students.",,Core,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0038560543), ('Algorithms and Numerical Methods', 0.9881491), ('Machine Learning', 0.003871488), ('Math and Statistics', 0.004123366)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0038560543), ('Algorithms and Numerical Methods', 0.9881491), ('Machine Learning', 0.003871488), ('Math and Statistics', 0.004123366)]"
21,NUS,Data Science and Analytics,MA3252,Linear and Network Optimisation,"The objective of this course is to work on optimization problems which can be formulated as linear and network optimization problems. We formulate linear programming (LP) problems and solve them by the simplex method (algorithm). We also look at the geometrical aspect and develop the mathematical theory of the simplex method. We further study problems which may be formulated using graphs and networks. These optimization problems can be solved by using linear or integer programming approaches. However, due to its graphical structure, it is easier to handle these problems by using network algorithmic approaches. Applications of LP and network optimization will be demonstrated. This course should help the student in developing confidence in solving many similar problems in daily life that require much computing. Major topics: Introduction to LP: solving 2-variable LP via graphical methods. Geometry of LP: polyhedron, extreme points, existence of optimal solution at extreme point. Development of simplex method: basic solution, reduced costs and optimality condition, iterative steps in a simplex method, 2-phase method and Big-M method. Duality: dual LP, duality theory, dual simplex method. Sensitivity Analysis. Network optimization problems: minimal spanning tree problems, shortest path problems, maximal flow problems, minimum cost flow problems, salesman problems and postman problems.","{'or': ['MA1101R:D', 'MA1311:D', 'MA2001:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D']}",Elective,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0018030365), ('Algorithms and Numerical Methods', 0.5054642), ('Machine Learning', 0.001804804), ('Math and Statistics', 0.490928)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0018030365), ('Algorithms and Numerical Methods', 0.5054642), ('Machine Learning', 0.001804804), ('Math and Statistics', 0.490928)]"
22,NUS,Data Science and Analytics,MA3227,Numerical Analysis II,"This course is a continuation of MA2213 Numerical Analysis I. It introduces and analyzes important numerical methods for solving linear and nonlinear systems, two-point boundary value problems, as well as Monte Carlo methods and their applications in such fields as quantitative finance and physics. The course aims at developing students’ problem-solving skills in emerging applications of modern scientific computing, and is intended for mathematics and quantitative finance majors and students from engineering, computer science and physical sciences. Major topics: Iterative methods for systems of linear equations and their convergence analysis, numerical solutions of systems of nonlinear equations, methods for solving two-point boundary value problems, Monte Carlo methods and their applications.","{'and': [{'or': ['MA2213:D', 'DSA2102:D']}, {'or': ['MA1104:D', 'MA2104:D', 'MA1505:D', 'MA1506:D', 'MA1507:D', 'MA1511:D', 'MA2311:D']}, {'or': ['MA2116:D', 'MA2216:D', 'ST2131:D', 'ST2334:D']}]}",Elective,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.0032718293), ('Algorithms and Numerical Methods', 0.74757355), ('Machine Learning', 0.0032190194), ('Math and Statistics', 0.2459356)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.0032718293), ('Algorithms and Numerical Methods', 0.74757355), ('Machine Learning', 0.0032190194), ('Math and Statistics', 0.2459356)]"
23,NUS,Data Science and Analytics,MA3238,Stochastic Processes I,"This course introduces the concept of modelling dependence and focuses on discrete-time Markov chains. Topics include discrete-time Markov chains, examples of discrete-time Markov chains, classification of states, irreducibility, periodicity, first passage times, recurrence and transience, convergence theorems and stationary distributions. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'and': [{'or': ['MA1508E:D', 'MA2001:D', 'MA1101R:D', 'MA1522:D']}, {'or': ['MA2216:D', 'MA2116:D', 'ST2131:D', 'ST2334:D']}]}",Elective,"('Math and Statistics', 'model, course, this, students, calculus, topics, probability, include, applications, theorem', [('Project Management', 0.0056063994), ('Algorithms and Numerical Methods', 0.005698955), ('Machine Learning', 0.005648605), ('Math and Statistics', 0.98304605)])",Math and Statistics,"model, course, this, students, calculus, topics, probability, include, applications, theorem","[('Project Management', 0.0056063994), ('Algorithms and Numerical Methods', 0.005698955), ('Machine Learning', 0.005648605), ('Math and Statistics', 0.98304605)]"
24,NUS,Data Science and Analytics,MA4230,Matrix Computation,"This course provides essential ideas and techniques as well as algorithms in numerical linear algebra that are needed in scientific computing and data analytics for effectively working with vectors and matrices. The major difficulties faced in solving problems in linear algebra numerically are discussed, as well as the associated applications often seen in practice. The emphasis is on the development of elegant and powerful algorithms and their applications for solving practical problems. Major topics include basic vector and matrix manipulation, the singular value decomposition, QR factorization, least squares problems, conditioning and stability, eigenvalue problems, and various applications in scientific computing and data science.","{'and': [{'or': ['MA2101:D', 'MA2101S:D']}, {'or': ['MA2213:D', 'DSA2102:D']}]}",Elective,"('Algorithms and Numerical Methods', 'data, course, this, students, will, program, problems, methods, learn, science', [('Project Management', 0.10522706), ('Algorithms and Numerical Methods', 0.6529088), ('Machine Learning', 0.0037665274), ('Math and Statistics', 0.23809758)])",Algorithms and Numerical Methods,"data, course, this, students, will, program, problems, methods, learn, science","[('Project Management', 0.10522706), ('Algorithms and Numerical Methods', 0.6529088), ('Machine Learning', 0.0037665274), ('Math and Statistics', 0.23809758)]"
25,NUS,Data Science and Analytics,MA4251,Stochastic Processes II,"This course builds on ST3236 and introduces an array of stochastic models with biomedical and other real world applications. Topics include Poisson process, compound Poisson process, marked Poisson process, point process, epidemic models, continuous time Markov chain, birth and death processes, martingale. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['MA3238:D', 'ST3236:D']}",Elective,"('Math and Statistics', 'model, course, this, students, calculus, topics, probability, include, applications, theorem', [('Project Management', 0.0057612853), ('Algorithms and Numerical Methods', 0.0058483477), ('Machine Learning', 0.0057591377), ('Math and Statistics', 0.98263127)])",Math and Statistics,"model, course, this, students, calculus, topics, probability, include, applications, theorem","[('Project Management', 0.0057612853), ('Algorithms and Numerical Methods', 0.0058483477), ('Machine Learning', 0.0057591377), ('Math and Statistics', 0.98263127)]"
